first_name,last_name
Tomoyuki,Izumi
Tomoyuki,Izumi
Tomoyuki,Izumi
Alejandro,Loureiro
Balaji,Vinjamur
Vivin,Oberoi
"Katonah Capital Partners Management, LLC","Katonah Capital Partners Management, LLC"
Eileen,Pyne
Gerard,McGraw
Timothy,Hilton
Anthony,Ryan
Michael,Wilens
Alan,Scheuer
Jacques,Perold
Marc,Gary
Paul,Mucci
James,"Johnson, Jr."
Robert,Chersi
Ronald,OHanley
John,Remondi
Edward,Johnson IV
Abigail,Johnson
James,Curvey
William,Byrnes
Edward,Johnson 3rd
Geoffrey,von Kuhn
Alan,Scheuer
Stephen,Neff
Kathleen,Murphy
Charles,Morrison II
James,MacDonald
John,"Haley, Jr."
Jonathan,Chiel
Michael,Wilens
John,Remondi
Gerard,McGraw
Edward,Johnson IV
Abigail,Johnson
James,Curvey
Edward,Johnson 3d
Michael,Wilens
Geoffrey,von Kuhn
Alan,Scheuer
Eileen,Pyne
Jacques,Perold
Ronald,OHanley
John,OConnor
Stephen,Neff
Gerard,McGraw
James,"Johnson, Jr."
Timothy,Hilton
Jonathan,Chiel
John,Remondi
Edward,Johnson IV
Abigail,Johnson
James,Curvey
William,Byrnes
Edward,Johnson 3d
Geoffrey,von Kuhn
Alan,Scheuer
Stephen,Neff
Kathleen,Murphy
Charles,Morrison II
James,MacDonald
John,"Haley, Jr."
Jonathan,Chiel
Michael,Wilens
John,Remondi
Gerard,McGraw
Edward,Johnson IV
Abigail,Johnson
James,Curvey
Edward,Johnson 3d
Geoffrey,von Kuhn
Alan,Scheuer
Stephen,Neff
Kathleen,Murphy
Charles,Morrison II
James,MacDonald
John,"Haley, Jr."
Jonathan,Chiel
Michael,Wilens
John,Remondi
Gerard,McGraw
Edward,Johnson IV
Abigail,Johnson
James,Curvey
Edward,Johnson 3d
Stephen,Neff
Kathleen,Murphy
Charles,Morrison II
James,MacDonald
John,"Haley, Jr."
Jonathan,Chiel
Michael,Wilens
John,Remondi
Gerard,McGraw
Edward,Johnson IV
Abigail,Johnson
James,Curvey
