,formd_firms,formadv_firms,ratio
0,Altalis Capital Management,Lcv Capital Management,90
1,Billings Capital Management,Lcv Capital Management,90
2,Cedar Cove Capital,Dt Capital,82
3,Context Capital Management,Lcv Capital Management,90
4,Glovista Investments,Dean Investments,81
5,Green Owl Capital Management,Lcv Capital Management,90
6,Greylock Capital Management,Lcv Capital Management,90
7,Haidar Capital Management,Lcv Capital Management,90
8,Incline Global Management,Clerisy Global Capital Management Lp,81
9,Karya Capital Management,Aua Capital Management,91
10,Noctua Partners,Nw1 Partners,80
11,SSE Capital,Dt Capital,82
12,Pleasant Lake Partners,Nw1 Partners,80
13,Polygon Global Partners LLP,Nw1 Partners,80
14,Prophecy Asset Management,Ufg Asset Management,89
15,QuantZ Capital Management,Quantz Capital,100
16,SG Capital Management,Melody Capital Management Llc,92
17,Symmetry Peak Management,Nwi Management Lp,74
18,Takumi Capital Management,Lcv Capital Management,90
19,TCA Fund Management,Em-Es Fund Management Llp,88
20,Tenzing Global,Days Global Advisors,60
21,Semper Capital Management,Lcv Capital Management,90
22,Wing Lake Capital,Crawford Lake Capital Management Llc,83
23,Hilltop Fund Management,Em-Es Fund Management Llp,79
24,Ayaltis,Kbis Capital,53
25,Morgan Creek Capital Management,Lcv Capital Management,90
26,Sunrise Capital Partners,Aac Capital Partners,89
27,Taylor Woods Capital,Dt Capital,82
28,Cygnus Asset Management,Ufg Asset Management,89
29,Brevan Howard Asset Management,Ufg Asset Management,89
30,Graham Capital Management,Lcv Capital Management,90
31,SECOR Asset Management,Ufg Asset Management,89
32,Doherty Advisors,Rjm Advisors,80
33,Archview Investment Group LP,Biltmore Investment Group,78
34,Gavea Investimentos,Dean Investments,80
35,Strategic Investment Management LLC,Ashdon Investment Management Llc,88
36,400 Capital Management LLC,7G Capital Management Llc,94
37,Atlas Principals LLC,Edge Principal Advisors Llc,68
38,Michaelson Capital Partners,Aac Capital Partners,89
39,Steamboat Capital Partners,Aac Capital Partners,89
40,Copernicus Capital Management LLC,7G Capital Management Llc,94
41,Cardo Capital Management LLC,7G Capital Management Llc,94
42,Jadwin Partners,Nw1 Partners,80
43,Hunting Hill Global Capital LLC,Mill Hill Capital Llc,86
44,Beach Horizon LLP,Horizon Wealth Group Llc.,58
45,Drury Capital,Dt Capital,82
46,Elara Capital PLC,Dt Capital,82
47,Hyman Beck & Company Inc.,Holder & Company Inc.,76
48,Iron Bay Capital,Dt Capital,82
49,Maltese Capital Management LLC,7G Capital Management Llc,94
50,Fasanara Capital Limited,Gulf Capital Limited,86
51,Northlander Commodity Advisors LLP,Rjm Advisors,80
52,Deer Park Road Management Company LP,Lead Management Company,88
53,Munoth Capital Management,Lcv Capital Management,90
54,JPMorgan Asset Management,Ufg Asset Management,89
55,ICON Advisers Inc,Strategic Capital Advisers Inc.,83
56,American Century Investment Management Inc.,Mcginn Investment Management Inc,88
57,Boston Trust Investment Management Inc.,Mcginn Investment Management Inc,88
58,Eulav Asset Management,Ufg Asset Management,89
59,Columbia Management Investment Advisers LLC,Ashdon Investment Management Llc,88
60,Fidelity Investments FMR,Dean Investments,81
61,Janus Capital Management LLC,7G Capital Management Llc,94
62,Goldman Sachs Asset Management LP,Ufg Asset Management,89
63,TCW Investment Management Co,Concord Investment Management,88
64,Lord Abbett,Ro & Lambert,57
65,Federated Investment Management Company,Lead Management Company,88
66,BlackRock Advisors LLC,Fe Advisors Llc,89
67,USAA Asset Management Company,A Fine Line Asset Management Company Llc,91
68,Pacific Investment Management Co LLC PIMCO,Ashdon Investment Management Llc,88
69,Putnam Investment Management LLC,Seacrest Investment Management Llc,88
70,Franklin Advisers Inc.,Atfs Advisers,76
71,Henderson Global Investors,Mako Global Investors Llp,78
72,Dreyfus Corporation,Tudor Investment Corporation,73
73,Morgan Stanley Investment Management Inc.,Mcginn Investment Management Inc,88
74,Glenmede Investment Management LP,Nwi Management Lp,87
75,ProFund Advisors LLC,Fe Advisors Llc,89
76,William Blair Investment Management,Lasalle Investment Management,84
77,Kornitzer Capital Management Inc,Lm Capital Management Inc,94
78,Federated MDTA LLC,Accelerated Wealth Advisors Llc,57
79,Robeco Investment Management Inc,Mcginn Investment Management Inc,88
80,Wells Fargo Funds Management LLC,Rpv Management Llc,88
81,BlackRock Fund Advisors iShares,Rjm Advisors,80
82,Artisan Partners Limited Partnership,Px3 Partners Limited,89
83,AQR Capital Management LLC,Ares Capital Management Llc,94
84,ClearBridge LLC,Marking Llc,62
85,Wasatch Advisors Inc,Tcw Advisors Inc,86
86,Harris Associates LP,Fca Associates,83
87,Lazard Asset Management LLC,T2 Asset Management Llc,93
88,Kayne Anderson Fund Advisors,Rjm Advisors,80
89,Voya Investments LLC,Bef Investments Llc,88
90,Doubleline Capital LP,Dt Capital,82
91,SEI Investments Management Corp,Acon Investments Management L.L.C.,84
92,Vanguard,4Dx Ventures,40
93,Nuveen Asset Management,Ufg Asset Management,89
94,Baird Advisors,Rjm Advisors,80
95,Teachers Advisors Inc,Tcw Advisors Inc,86
96,Guggenheim Partners Investment Mgmt LLC,Cas Investment Partners Llc,92
97,T. Rowe Price Associates Inc.,Fca Associates,83
98,PNC Capital Advisors LLC,Hurricane Capital Advisors Llc,91
99,Loomis Sayles & Company LP,Boost Vc Management Company Llc,58
